2025-09-24 10:06:43 | INFO     | src.agents.base_agent:stop:195 - ⏹️ Agente DefaultDocumentProcessor detenido
2025-09-24 10:06:44 | INFO     | src.utils.logger:setup_logging:37 - 🚀 Sistema de logging inicializado
2025-09-24 10:06:44 | INFO     | src.agents.base_agent:__init__:105 - 🚀 Agente DefaultDocumentProcessor inicializado
2025-09-24 10:06:44 | INFO     | src.services.ai_service:__init__:41 - 🧠 AI Service inicializado con proveedor: ollama
2025-09-24 10:06:44 | INFO     | src.agents.document_processor:__init__:58 - 📄 Document Processor Agent inicializado
2025-09-24 10:06:44 | INFO     | src.agents.base_agent:start:186 - ▶️ Agente DefaultDocumentProcessor iniciado
2025-09-24 10:07:29 | INFO     | src.agents.base_agent:stop:195 - ⏹️ Agente DefaultDocumentProcessor detenido
2025-09-24 10:07:31 | INFO     | src.utils.logger:setup_logging:37 - 🚀 Sistema de logging inicializado
2025-09-24 10:07:31 | INFO     | src.agents.base_agent:__init__:105 - 🚀 Agente DefaultDocumentProcessor inicializado
2025-09-24 10:07:31 | INFO     | src.services.ai_service:__init__:41 - 🧠 AI Service inicializado con proveedor: ollama
2025-09-24 10:07:31 | INFO     | src.agents.document_processor:__init__:58 - 📄 Document Processor Agent inicializado
2025-09-24 10:07:31 | INFO     | src.agents.base_agent:start:186 - ▶️ Agente DefaultDocumentProcessor iniciado
2025-09-24 10:12:42 | INFO     | src.agents.base_agent:stop:195 - ⏹️ Agente DefaultDocumentProcessor detenido
2025-09-24 10:12:43 | INFO     | src.utils.logger:setup_logging:37 - 🚀 Sistema de logging inicializado
2025-09-24 10:12:43 | INFO     | src.agents.base_agent:__init__:105 - 🚀 Agente DefaultDocumentProcessor inicializado
2025-09-24 10:12:43 | INFO     | src.services.ai_service:__init__:41 - 🧠 AI Service inicializado con proveedor: ollama
2025-09-24 10:12:43 | INFO     | src.agents.document_processor:__init__:58 - 📄 Document Processor Agent inicializado
2025-09-24 10:12:43 | INFO     | src.agents.base_agent:start:186 - ▶️ Agente DefaultDocumentProcessor iniciado
2025-09-24 10:15:58 | INFO     | src.agents.base_agent:stop:195 - ⏹️ Agente DefaultDocumentProcessor detenido
2025-09-24 10:16:00 | INFO     | src.utils.logger:setup_logging:37 - 🚀 Sistema de logging inicializado
2025-09-24 10:16:00 | INFO     | src.agents.base_agent:__init__:105 - 🚀 Agente DefaultDocumentProcessor inicializado
2025-09-24 10:16:00 | INFO     | src.services.ai_service:__init__:41 - 🧠 AI Service inicializado con proveedor: ollama
2025-09-24 10:16:00 | INFO     | src.agents.document_processor:__init__:58 - 📄 Document Processor Agent inicializado
2025-09-24 10:16:00 | INFO     | src.agents.base_agent:start:186 - ▶️ Agente DefaultDocumentProcessor iniciado
2025-09-24 10:17:37 | INFO     | src.agents.base_agent:stop:195 - ⏹️ Agente DefaultDocumentProcessor detenido
2025-09-24 10:17:39 | INFO     | src.utils.logger:setup_logging:37 - 🚀 Sistema de logging inicializado
2025-09-24 10:17:39 | INFO     | src.agents.base_agent:__init__:105 - 🚀 Agente DefaultDocumentProcessor inicializado
2025-09-24 10:17:39 | INFO     | src.services.ai_service:__init__:41 - 🧠 AI Service inicializado con proveedor: ollama
2025-09-24 10:17:39 | INFO     | src.agents.document_processor:__init__:58 - 📄 Document Processor Agent inicializado
2025-09-24 10:17:39 | INFO     | src.agents.base_agent:start:186 - ▶️ Agente DefaultDocumentProcessor iniciado
2025-09-24 10:17:55 | INFO     | src.utils.logger:setup_logging:37 - 🚀 Sistema de logging inicializado
2025-09-24 10:17:55 | INFO     | src.agents.base_agent:__init__:105 - 🚀 Agente DefaultDocumentProcessor inicializado
2025-09-24 10:17:55 | INFO     | src.services.ai_service:__init__:41 - 🧠 AI Service inicializado con proveedor: ollama
2025-09-24 10:17:55 | INFO     | src.agents.document_processor:__init__:58 - 📄 Document Processor Agent inicializado
2025-09-24 10:17:55 | INFO     | src.agents.base_agent:start:186 - ▶️ Agente DefaultDocumentProcessor iniciado
2025-09-24 10:42:33 | INFO     | src.agents.base_agent:stop:195 - ⏹️ Agente DefaultDocumentProcessor detenido
2025-09-24 10:42:34 | INFO     | src.agents.base_agent:stop:195 - ⏹️ Agente DefaultDocumentProcessor detenido
